mainTask,2,C,65,5,0,1984,CF,0,1,c,s,fill,m,360811,362795,z
mainTask,2,C,66,6,1,3068,TE,1,1,c,s,type,m,364559,367627,m
mainTask,2,C,67,7,1,1000,CE,1,1,i,r,type,z,369307,370307,z
mainTask,2,C,68,8,0,1436,CF,0,1,c,s,fill,m,371968,373404,z
mainTask,2,C,69,9,1,1696,CE,1,1,i,s,type,z,375083,376779,z
mainTask,2,C,70,10,1,737,CE,1,1,i,r,type,z,378441,379178,z
mainTask,2,C,71,11,1,903,CF,1,1,c,r,type,z,380884,381787,z
mainTask,2,C,72,12,1,620,CF,1,1,c,r,type,z,383383,384003,z
mainTask,2,C,73,13,0,3635,CF,0,1,c,s,fill,m,385657,389292,z
mainTask,2,C,74,14,1,1549,CE,0,1,i,r,fill,m,390879,392428,m
mainTask,2,C,75,15,1,474,CE,0,1,i,r,fill,m,394034,394508,m
mainTask,2,C,76,16,1,2502,CE,1,1,i,s,type,z,396230,398732,z
mainTask,2,C,77,17,1,572,CE,1,1,i,r,type,z,400528,401100,z
mainTask,2,C,78,18,1,992,CF,1,1,c,r,type,z,402812,403804,z
mainTask,2,C,79,19,1,1972,CE,0,1,i,s,fill,m,405416,407388,m
mainTask,2,C,80,20,1,1038,CF,1,1,c,s,type,z,409126,410164,z
mainTask,2,C,81,21,1,2468,TF,0,1,i,s,fill,z,411800,414268,z
mainTask,2,C,82,22,1,1239,TE,1,1,c,s,type,m,416029,417268,m
mainTask,2,C,83,23,1,1433,CE,1,1,i,r,type,z,418940,420373,z
mainTask,2,C,84,24,1,1722,TF,1,1,i,r,type,m,422026,423748,m
mainTask,2,C,85,25,1,2225,CF,0,1,c,s,fill,z,425420,427645,z
mainTask,2,C,86,26,1,1420,CE,0,1,i,r,fill,m,429417,430837,m
mainTask,2,C,87,27,0,1462,TE,0,1,c,r,fill,z,432599,434061,m
mainTask,2,C,88,28,1,1076,TE,0,1,c,r,fill,m,435664,436740,m
mainTask,2,C,89,29,1,2780,CF,1,1,c,s,type,z,438313,441093,z
mainTask,2,C,90,30,1,2126,TE,0,1,c,s,fill,m,442815,444941,m
mainTask,2,C,91,31,1,1256,TF,1,1,i,s,type,m,446613,447869,m
mainTask,2,C,92,32,1,580,TF,1,1,i,r,type,m,449441,450021,m
mainTask,2,C,93,33,0,1332,CE,0,1,i,s,fill,z,451785,453117,m
mainTask,2,C,94,34,1,1746,TE,1,1,c,s,type,m,454755,456501,m
mainTask,2,C,95,35,1,2258,CE,1,1,i,r,type,z,458123,460381,z
mainTask,2,C,96,36,1,2349,CE,0,1,i,s,fill,m,461961,464310,m
mainTask,2,C,97,37,1,2483,TF,0,1,i,r,fill,z,465915,468398,z
mainTask,2,C,98,38,0,1332,CE,0,1,i,r,fill,z,469962,471294,m
mainTask,2,C,99,39,1,1516,TF,1,1,i,s,type,m,472874,474390,m
mainTask,2,C,100,40,1,1060,TE,1,1,c,r,type,m,475938,476998,m
mainTask,2,C,101,41,1,979,TE,1,1,c,r,type,m,478603,479582,m
mainTask,2,C,102,42,1,784,TE,1,1,c,r,type,m,481230,482014,m
mainTask,2,C,103,43,1,2424,CF,0,1,c,s,fill,z,483654,486078,z
mainTask,2,C,104,44,1,2356,CF,1,1,c,s,type,z,487690,490046,z
mainTask,2,C,105,45,1,2762,CE,0,1,i,s,fill,m,491636,494398,m
mainTask,2,C,106,46,1,2776,CF,0,1,c,r,fill,z,496078,498854,z
mainTask,2,C,107,47,1,1028,CF,0,1,c,r,fill,z,500618,501646,z
mainTask,2,C,108,48,0,1158,TF,0,1,i,r,fill,m,503384,504542,z
mainTask,2,C,109,49,1,3147,TE,1,1,c,s,type,m,506148,509295,m
mainTask,2,C,110,50,1,2144,CF,1,1,c,r,type,z,510950,513094,z
mainTask,2,C,111,51,1,1327,CE,0,1,i,s,fill,m,514767,516094,m
mainTask,2,C,112,52,0,1445,CE,0,1,i,r,fill,z,517634,519079,m
mainTask,2,C,113,53,1,627,CE,0,1,i,r,fill,m,520732,521359,m
mainTask,2,C,114,54,1,2963,CE,1,1,i,s,type,z,522980,525943,z
mainTask,2,C,115,55,1,1007,CE,1,1,i,r,type,z,527599,528606,z
mainTask,2,C,116,56,0,1699,CF,0,1,c,s,fill,m,530403,532102,z
mainTask,2,C,117,57,1,2074,TE,0,1,c,r,fill,m,533733,535807,m
mainTask,2,C,118,58,1,3170,TE,1,1,c,s,type,m,537437,540607,m
mainTask,2,C,119,59,1,1154,CE,1,1,i,r,type,z,542221,543375,z
mainTask,2,C,120,60,0,1030,CF,1,1,c,r,type,m,545121,546151,z
mainTask,3,B,121,1,1,4685,TE,0.19999999999999996,1,c,,fill,m,557619,562304,m
mainTask,3,B,122,2,0,4757,CF,0.19999999999999996,1,c,r,fill,m,563875,568632,z
mainTask,3,B,123,3,1,3704,CF,0.8,1,c,s,type,z,570336,574040,z
mainTask,3,B,124,4,0,1552,CF,0.19999999999999996,1,c,s,fill,m,575744,577296,z
mainTask,3,B,125,5,0,1466,CE,0.19999999999999996,1,i,r,fill,z,578942,580408,m
mainTask,3,B,126,6,1,2589,TE,0.19999999999999996,1,c,r,fill,m,582178,584767,m
mainTask,3,B,127,7,1,4098,TE,0.8,1,c,s,type,m,586455,590553,m
mainTask,3,B,128,8,1,1508,TF,0.19999999999999996,1,i,s,fill,z,592308,593816,z
mainTask,3,B,129,9,1,1836,TE,0.19999999999999996,1,c,r,fill,m,595612,597448,m
mainTask,3,B,130,10,1,2133,TE,0.8,1,c,s,type,m,599036,601169,m
mainTask,3,B,131,11,1,3837,TF,0.19999999999999996,1,i,s,fill,z,602932,606769,z
mainTask,3,B,132,12,1,1419,TE,0.19999999999999996,1,c,r,fill,m,608357,609776,m
mainTask,3,B,133,13,1,2807,CE,0.19999999999999996,1,i,r,fill,m,611474,614281,m
mainTask,3,B,134,14,1,854,TE,0.19999999999999996,1,c,r,fill,m,615987,616841,m
mainTask,3,B,135,15,1,805,CE,0.19999999999999996,1,i,r,fill,m,618396,619201,m
mainTask,3,B,136,16,1,1750,CE,0.8,1,i,s,type,z,620923,622673,z
mainTask,3,B,137,17,1,1660,TF,0.8,1,i,r,type,m,624261,625921,m
mainTask,3,B,138,18,1,2398,TF,0.8,1,i,r,type,m,627635,630033,m
mainTask,3,B,139,19,0,1630,CF,0.19999999999999996,1,c,s,fill,m,631763,633393,z
mainTask,3,B,140,20,1,1090,CE,0.8,1,i,s,type,z,635023,636113,z
mainTask,3,B,141,21,1,2820,TF,0.19999999999999996,1,i,s,fill,z,637709,640529,z
mainTask,3,B,142,22,1,1540,TF,0.19999999999999996,1,i,r,fill,z,642357,643897,z
mainTask,3,B,143,23,1,3389,TF,0.8,1,i,s,type,m,645485,648874,m
